,City,Latitude,Temperature,Humidity,Cloud Coverage,Wind Speed
0,Sao Sebastiao,-23.76,73.24,98,64,9.26
1,Merauke,-8.47,84.58,96,48,9.93
2,Litovko,49.24,4.03,62,32,3.38
3,Tual,-5.67,82.69,100,0,5.28
4,Itamaraca,-7.75,77.85,74,40,6.93
5,Chapleau,47.84,26.6,92,90,10.29
6,Fredericton,45.95,30.2,74,90,16.11
7,Buchanan,5.88,78.5,100,76,7.52
8,Krasnyy Kut,50.95,23.24,78,0,6.73
9,Bonthe,7.53,76.88,97,20,3.49
10,Jerome,42.72,33.21,69,1,12.75
11,Yarmouth,41.71,36.68,59,1,12.75
12,Karratha,-20.74,85.48,45,0,9.08
13,Ures,29.43,62.39,43,0,3.56
14,Veseloyarsk,51.28,27.43,79,32,15.68
15,Lavrentiya,65.58,23.15,100,36,1.03
16,Gladstone,-23.85,75.35,73,76,10.83
17,Sao Filipe,14.9,77.11,100,24,10.27
18,Lekoni,-1.58,68.02,97,36,5.28
19,Kavaratti,10.57,84.8,97,0,9.26
20,Skjervoy,70.03,28.96,100,0,16.35
21,Eura,61.13,40.17,86,20,5.82
22,Hasaki,35.73,50.81,76,75,2.24
23,Nanortalik,60.14,26.39,94,0,16.35
24,Coatesville,39.98,34.79,59,1,4.7
25,Hutchinson,38.06,63.3,63,1,4.7
26,The Valley,18.22,82.24,97,92,9.6
27,Yuci,37.68,28.4,23,0,8.95
28,Menongue,-14.66,69.95,34,92,5.57
29,Latung,5.5,83.41,100,0,7.81
30,Canon City,38.44,54.27,46,40,10.29
31,Mahebourg,-20.41,73.4,88,75,3.36
32,Kodinsk,58.69,3.94,80,92,2.89
33,Mandalay,21.97,71.6,94,40,2.24
34,Taltal,-25.4,51.59,100,36,0.36
35,Shimoda,34.67,60.8,67,75,10.29
36,New Richmond,45.12,36.41,100,90,4.7
37,Langham,52.37,5.0,71,75,14.99
38,Smolensk,54.78,33.37,95,88,8.59
39,Aura,60.62,41.0,86,76,8.05
40,Vanimo,-2.67,84.31,100,48,9.42
41,Constitucion,-35.33,56.0,77,0,16.42
42,Butaritari,3.07,83.0,100,68,5.28
43,Balatonalmadi,47.04,40.06,86,90,11.41
44,Migori,-1.06,60.95,100,8,5.5
45,Itacarambi,-15.1,71.75,85,56,3.49
46,Barrow,71.29,12.2,85,90,8.05
47,Bredasdorp,-34.53,60.8,77,12,6.93
48,Hami,42.8,30.76,71,80,5.12
49,Amboasary,-25.03,73.4,94,75,4.7
50,Petrivka,46.97,42.8,93,90,6.71
51,Vardo,70.37,37.91,100,88,17.31
52,Batagay,67.63,-18.93,80,44,4.12
53,Drochia,48.03,36.38,95,88,3.11
54,Ternate,0.8,84.94,100,12,2.82
55,Port Macquarie,-31.43,71.6,60,90,19.46
56,Itanhem,-17.17,66.89,94,0,7.02
57,Ayagoz,47.97,7.4,71,36,3.27
58,Vanavara,60.34,-8.4,79,80,4.23
59,Kathu,7.92,84.2,70,20,8.05
60,Yara,20.28,73.01,88,100,8.37
61,Oriximina,-1.77,84.94,59,0,6.29
62,Contai,21.78,74.63,100,100,9.6
63,Balaipungut,1.05,80.6,83,0,3.56
64,Haimen,23.19,78.8,78,40,7.14
65,Vidim,56.41,11.23,74,88,4.9
66,Strezhevoy,60.73,15.8,100,90,4.47
67,Lashio,22.93,73.33,81,0,2.55
68,Ukiah,39.15,48.2,76,1,1.99
69,Kurumkan,54.3,-8.26,70,0,1.99
70,Lompoc,34.64,56.98,87,1,4.7
71,Rio Claro,-22.41,68.0,94,40,3.36
72,Haines Junction,60.75,0.25,93,80,2.21
73,Young,-32.68,61.54,65,0,13.29
74,Voh,-20.97,74.14,94,36,17.58
75,Bathsheba,13.22,80.6,88,40,12.75
76,Adiake,5.29,80.6,88,40,3.36
77,Ewa Beach,21.32,77.45,61,75,9.17
78,Cabudare,10.03,73.4,83,20,5.82
79,Progreso,21.28,75.2,69,5,5.82
80,Kotelnich,58.31,30.94,88,92,10.42
81,Colares,38.8,48.13,71,0,3.36
82,Geraldton,-28.77,69.8,60,40,12.75
83,Kayankulam,9.18,80.75,100,0,2.89
84,Touros,-5.2,75.35,96,88,10.87
85,Namibe,-15.2,69.5,100,0,3.11
86,Puerto del Rosario,28.5,66.7,72,8,12.75
87,Bambanglipuro,-7.95,80.44,94,92,4.27
88,Warrnambool,-38.38,67.16,91,12,5.5
89,Boshnyakovo,49.63,18.97,100,32,5.28
90,Narrabri,-30.32,65.41,88,92,7.52
91,Santa Luzia,-19.77,74.32,64,0,5.82
92,Santa Maria,-29.68,69.8,88,75,3.36
93,Chingola,-12.53,64.06,95,48,8.93
94,East London,-33.02,60.5,100,0,7.58
95,Marawi,8.0,82.01,71,24,2.04
96,Otane,-39.88,55.46,62,64,12.06
97,Southbridge,42.08,31.26,31,20,6.93
98,Collie,-33.37,68.56,72,68,9.64
99,Bell Ville,-32.63,62.21,29,64,13.62
100,Altay,47.87,-4.17,43,0,2.33
101,Medea,36.26,44.6,93,20,2.26
102,Liverpool,53.41,44.47,87,75,14.99
103,San Vicente,-26.62,65.45,99,92,2.89
104,Grand Island,40.92,44.96,70,40,14.99
105,Husavik,66.04,26.6,86,75,8.05
106,Chernyshevskiy,63.01,-14.43,100,32,5.23
107,Hermosillo,29.07,77.0,23,5,5.57
108,Petlawad,23.0,67.03,75,0,11.39
109,Lerwick,60.15,41.9,60,56,20.8
110,Torata,-17.08,34.72,77,8,1.25
111,Moyo,3.66,63.83,85,8,3.56
112,Cabra,37.47,39.4,93,0,3.71
113,Vao,-22.67,71.93,100,32,13.56
114,Mildura,-34.2,70.54,95,32,3.33
115,Sita Road,27.03,55.69,71,0,4.79
116,Carlagan,14.97,80.75,100,100,5.23
117,Hit,33.64,48.67,73,0,2.71
118,Boysun,38.21,28.01,100,68,1.54
119,Talnakh,69.49,-27.93,44,20,2.82
120,Itoman,26.12,77.0,74,75,17.22
121,Muisne,0.6,69.59,92,8,4.72
122,Caruray,10.31,81.2,100,12,13.06
123,Talara,-4.58,62.93,93,8,7.02
124,Przasnysz,53.02,36.52,96,80,8.3
125,Solnechnyy,50.72,2.32,67,44,3.6
126,Doctor Arroyo,23.67,52.31,72,0,4.05
127,Uva,56.99,28.19,87,92,6.13
128,Businga,3.33,68.29,99,92,4.83
129,Lubango,-14.92,51.28,79,0,1.21
130,Winneba,5.35,78.8,94,0,6.93
131,Chik,54.99,30.2,80,90,11.18
132,Dolores,-36.31,51.5,67,0,15.86
133,Srandakan,-7.94,80.44,94,92,4.27
134,Alpena,45.06,37.44,93,90,16.11
135,Douglas,54.15,48.2,81,75,18.34
136,Tshikapa,-6.42,66.67,100,92,2.04
137,Scarness,-25.28,72.65,97,100,7.36
138,Macapa,0.04,80.6,78,20,9.17
139,Djambala,-2.54,70.09,96,48,6.73
140,Mnogovershinnyy,53.94,10.42,66,0,4.5
141,Kendari,-3.94,87.37,70,88,3.38
142,Maloy,61.94,39.2,100,92,24.16
143,Zambezi,-13.54,65.14,88,24,2.89
144,Obeliai,55.97,38.59,98,80,11.88
145,Esperance,-33.87,77.11,65,20,14.34
146,Mae Sai,20.43,73.4,100,20,2.59
147,Guadalupe y Calvo,26.1,51.23,55,0,2.21
148,Bethel,41.37,33.98,34,1,5.82
149,Ruiz,21.95,69.8,83,40,1.88
150,Kindu,-2.95,68.11,100,92,2.21
151,San Carlos de Bariloche,-41.15,41.0,52,20,14.99
152,Anchorage,61.22,16.83,92,90,10.16
153,Ribeira Grande,38.52,67.84,98,100,28.99
154,Kazerun,29.62,44.03,72,0,3.38
155,Leca da Palmeira,41.19,40.89,100,0,3.36
156,Gumdag,39.21,37.19,81,12,3.78
157,Kualakapuas,-3.01,82.4,78,40,3.36
158,Svetlogorsk,52.63,26.71,83,76,3.04
159,Jasper,38.39,53.6,58,90,10.29
160,Starachowice,51.04,35.66,97,88,7.02
161,Kolondieba,11.09,69.82,37,12,8.41
162,Nyurba,63.28,-6.01,71,68,5.61
163,Aleksandrovsk-Sakhalinskiy,50.9,14.83,100,0,7.4
164,Varias,46.02,41.04,100,88,5.82
165,Klobuck,50.9,37.4,100,75,4.7
166,Rio Branco,-9.97,75.2,83,40,3.36
167,Krasnovishersk,60.41,23.74,92,56,7.25
168,Beloha,-25.17,68.56,90,80,5.57
169,Vitim,59.45,-7.95,77,44,4.27
170,Bayangol,50.7,-3.54,53,0,2.21
171,Sciacca,37.51,59.0,87,40,8.05
172,Abaza,52.66,0.61,49,36,2.26
173,Antsirabe,-19.85,59.15,95,80,3.22
174,Terme,41.21,44.6,93,12,2.24
175,Nouakchott,18.09,76.84,92,12,9.86
176,Magadi,12.97,69.8,100,40,4.7
177,Mahajanga,-15.72,77.0,88,40,2.24
178,Guilin,25.28,62.6,77,75,17.9
179,Port Moresby,-9.44,87.8,62,75,6.93
180,Coahuayana,18.73,73.4,94,20,5.82
181,Fuerte Olimpo,-21.04,78.91,83,64,9.53
182,Umm Lajj,25.02,69.05,100,20,3.33
183,Orotukan,62.27,-5.88,93,76,3.56
184,Kapit,2.02,78.28,89,88,2.48
185,Takoradi,4.88,78.59,100,32,8.3
186,Bambous Virieux,-20.34,73.4,88,75,5.82
187,Brae,60.4,43.02,95,68,26.4
188,Moa,20.66,68.6,100,92,2.89
189,Dingli,35.86,59.0,82,20,8.05
190,Caravelas,-17.71,77.24,99,20,15.08
191,Pyt-Yakh,60.75,18.65,84,88,3.22
192,Bozeman,45.68,29.08,73,75,4.7
193,Aquiraz,-3.9,80.6,74,40,10.29
194,Lebu,-37.62,53.62,100,36,21.56
195,Valparaiso,-33.04,59.0,72,0,2.71
196,San Miguel,15.15,82.4,78,75,2.24
197,Lodja,-3.48,71.17,95,92,2.1
198,Halmeu,47.97,42.8,100,92,5.82
199,Ginir,7.13,41.29,69,0,2.55
200,Kropotkin,45.44,38.63,88,8,11.54
201,Hohhot,40.81,12.2,43,0,2.24
202,Axim,4.87,78.91,100,80,10.6
203,Booue,-0.09,73.51,99,92,2.26
204,Agnibilekrou,7.13,74.59,91,48,6.06
205,Marsabit,2.33,69.28,48,0,6.29
206,Pervomayskoye,43.92,43.36,88,88,12.55
207,Arenal,-7.57,75.2,94,40,2.24
208,Santo Augusto,-27.85,65.45,100,92,4.5
209,Aswan,24.09,61.85,89,36,2.21
210,Kruisfontein,-34.0,53.93,99,56,4.61
211,Kieta,-6.22,83.36,96,76,4.79
212,Voi,-3.39,59.92,90,0,2.37
213,Hermanus,-34.42,44.93,93,12,2.48
214,Shakawe,-18.37,56.77,25,0,7.58
215,Epe,6.58,78.82,87,12,6.91
216,Orange,33.79,64.69,93,75,3.36
217,Komsomolskiy,40.43,32.0,58,0,4.7
218,Whitehorse,60.72,8.6,84,90,6.93
219,Thompson,55.74,10.4,85,90,9.17
220,Ponta do Sol,32.67,66.2,77,40,3.36
221,Norilsk,69.35,-27.93,44,20,2.82
222,Presidente Venceslau,-21.88,77.0,65,40,3.36
223,Eureka,40.8,45.5,81,1,7.36
224,Calbuco,-41.77,46.4,87,75,2.24
225,Sioux Lookout,50.1,23.49,79,90,5.82
226,Karoi,-16.81,64.69,94,92,9.93
227,Tahta,26.77,60.8,59,0,9.17
228,Black River,18.03,78.8,83,40,2.24
229,Rajsamand,25.07,59.56,71,0,3.89
230,Innisfail,-17.53,80.53,63,0,4.23
231,Santa Cruz,14.28,86.0,79,75,5.82
232,Kumukh,42.17,15.64,71,8,1.77
233,Buala,-8.14,79.85,100,88,4.05
234,Joshimath,30.57,13.25,90,68,0.36
235,La Ronge,55.1,10.4,72,90,13.87
236,Awjilah,29.11,42.73,67,0,2.82
237,Bulgan,48.81,12.8,37,0,4.0
238,Nantucket,41.28,37.76,48,1,19.46
239,Sarandi,-23.44,77.0,69,0,6.93
240,Marsaxlokk,35.84,59.0,82,20,8.05
241,Saint George,37.1,55.4,43,90,16.11
242,Hovd,48.01,6.91,74,12,2.33
243,Punta Umbria,37.18,50.56,86,0,5.01
244,Nador,35.17,45.39,93,0,1.12
245,Impfondo,1.64,70.54,100,32,1.99
246,Spencer,43.14,40.71,81,90,10.29
247,Camacha,33.08,66.2,72,40,13.87
248,Rikitea,-23.12,72.79,100,64,22.73
249,Kitale,1.02,45.2,81,8,2.48
250,Almeirim,-1.52,84.71,62,68,5.5
251,Beruwala,6.48,82.19,100,0,1.7
252,Doka,13.52,65.36,55,0,4.05
253,Lata,40.16,41.0,100,40,3.36
254,Yondo,7.01,74.23,100,80,2.82
255,Salvador,-12.97,75.2,83,0,6.93
256,Fushe-Arrez,42.06,42.19,100,92,3.78
257,Westerland,54.91,44.6,87,92,18.34
258,Coihaique,-45.58,46.2,67,0,3.36
259,Ouesso,1.61,71.48,100,92,2.82
260,Nishihara,26.18,75.83,88,90,20.8
261,Najran,17.49,51.8,34,0,2.55
262,Kijang,35.24,46.4,42,0,16.11
263,Shetpe,44.17,29.9,83,0,6.58
264,Porto Novo,17.02,73.4,83,40,9.17
265,Cimaja,-6.95,82.78,99,8,13.11
266,Lengshuitan,26.41,46.28,100,92,15.57
267,Dwarka,22.24,72.88,100,0,16.08
268,Masallatah,32.62,51.05,94,24,12.1
269,Mendeleyevo,56.03,34.99,93,90,13.42
270,Luancheng,37.88,33.8,24,0,8.95
271,Mecca,21.43,80.6,78,0,2.71
272,Nabire,-3.37,82.28,73,12,2.48
273,Emerald,-23.53,86.38,42,64,7.25
274,Acara,-1.96,76.84,75,8,5.79
275,Pathein,16.78,86.29,89,0,4.5
276,Clyde River,70.47,-20.21,68,1,3.36
277,Salisbury,51.07,37.8,93,0,2.24
278,Fes,34.04,51.31,42,0,8.05
279,Saint Albans,51.75,41.49,75,90,10.29
280,Taree,-31.9,71.6,60,90,19.46
281,Shingu,33.73,53.6,93,75,4.7
282,Cuauhtemoc,28.42,50.47,34,0,6.58
283,Teacapan,22.55,76.21,80,0,2.33
284,Rongcheng,30.63,47.23,89,36,14.18
285,Brumunddal,60.88,28.24,79,36,3.56
286,Clearwater,27.97,64.83,68,20,4.7
287,Preobrazheniye,42.9,14.51,53,0,7.36
288,Morehead,37.27,57.42,58,90,10.29
289,Igurubi,-4.0,64.51,69,8,5.84
290,Durres,41.32,46.4,100,75,13.78
291,Galbshtadt,53.23,28.06,91,88,12.84
292,Gopalpur,19.27,77.33,100,92,9.64
293,Iwanai,42.97,43.99,100,48,25.19
294,Nerang,-27.98,68.79,73,75,8.05
295,Soe,-9.86,77.56,85,92,2.59
296,Eenhana,-17.47,61.85,30,0,9.37
297,Yerofey Pavlovich,53.97,-5.16,39,0,6.73
298,Ludvika,60.15,39.2,86,12,9.17
299,Huambo,-12.78,58.7,92,44,3.11
300,Paso de los Toros,-32.82,60.5,87,0,8.75
301,New Norfolk,-42.78,80.6,32,40,12.75
302,Gurupi,-11.73,70.54,94,44,2.82
303,Mysliborz,52.92,36.88,95,32,10.83
304,Kununurra,-15.77,95.0,50,24,5.82
305,Flin Flon,54.77,10.73,89,56,6.8
306,Vestmannaeyjar,63.44,32.06,100,0,13.62
307,Salalah,17.02,77.0,73,20,4.7
308,Bronnoysund,65.46,37.4,86,92,12.75
309,Tulun,54.56,11.09,62,76,3.11
310,Baixa Grande,-11.96,66.67,88,68,4.0
311,Bida,9.08,80.71,67,20,9.93
312,Tilichiki,60.47,34.85,97,92,5.01
313,Alugan,12.22,82.55,95,88,8.86
314,Tadine,-21.55,74.14,96,32,12.77
315,Barcelona,41.39,45.5,75,0,3.49
316,La Paz,-16.5,46.4,75,75,6.93
317,Tuktoyaktuk,69.45,-5.81,83,90,3.36
318,Camana,-16.62,59.24,100,0,6.13
319,Malappuram,11.07,77.0,83,75,4.7
320,Leh,34.17,-3.04,66,76,1.77
321,Pingliang,35.54,27.2,94,32,3.04
322,Hualmay,-11.1,57.31,95,32,5.06
323,Setermoen,68.86,19.4,92,80,2.24
324,Tessalit,20.2,51.37,31,20,6.35
325,Abbeville,50.1,32.0,73,75,2.24
326,Kommunar,59.62,41.0,80,75,8.95
327,Grand Gaube,-20.01,73.4,88,75,5.82
328,Ahipara,-35.17,60.14,86,92,24.85
329,Callaway,30.15,56.5,87,1,11.39
330,Aksarka,66.56,20.23,92,92,6.51
331,Ust-Ilimsk,58.0,2.81,83,80,3.0
332,Alofi,-19.06,81.07,93,76,15.79
333,Norman Wells,65.28,-5.81,76,75,6.93
334,Valdosta,30.83,52.72,93,0,4.23
335,Olinda,-8.01,78.8,74,40,6.93
336,Belmonte,-15.86,75.2,83,40,6.93
337,Marathon,24.71,75.2,64,1,12.75
338,Turukhansk,65.82,-7.05,60,24,9.53
339,Cullman,34.17,56.01,81,1,8.41
340,Broken Hill,-31.95,75.44,52,76,6.02
341,Nicoya,10.15,77.0,73,0,5.61
342,Derzhavinsk,51.1,21.71,84,44,7.58
343,Magistralnyy,56.17,-4.98,65,68,3.49
344,Kokstad,-30.55,39.44,66,0,4.38
345,Layton,41.06,36.09,59,20,12.75
346,Harper,4.38,78.73,100,68,8.59
347,Ixtapa,20.7,82.4,83,5,5.82
348,Pisco,-13.7,64.4,88,0,11.41
349,Turayf,31.67,53.6,39,0,11.41
350,Lardos,36.09,60.8,93,40,4.7
351,Dangriga,16.97,73.4,83,20,3.36
352,Marsala,37.8,60.06,87,40,8.05
353,Coquimbo,-29.95,55.4,87,0,2.24
354,Namatanai,-3.67,84.76,100,20,1.36
355,Dzaoudzi,-12.79,78.8,88,75,1.12
356,Faanui,-16.48,79.76,100,76,23.69
357,Jumla,29.27,27.2,100,32,1.77
358,Roald,62.58,40.21,86,92,16.11
359,Glendive,47.11,31.15,74,20,3.36
360,Ushumun,52.78,-3.54,37,0,6.51
361,Sao Joao da Barra,-21.64,77.06,95,48,29.28
362,Lorengau,-2.02,84.22,100,44,5.01
363,Zhmerynka,49.04,34.09,96,92,3.33
364,Kautokeino,69.01,17.08,84,88,4.5
365,Svolvaer,68.23,36.74,100,92,9.26
366,Melo,-32.37,60.46,73,0,7.74
367,Sorong,-0.88,82.51,100,12,6.02
368,Hofn,64.25,37.51,100,88,22.39
369,Oktyabrskiy,54.48,29.32,94,88,8.59
370,Rapid Valley,44.06,34.66,100,75,5.82
371,Fuzhou,26.06,66.2,82,90,24.61
372,Lumphat,13.49,82.06,88,24,3.38
373,Salinas,36.68,55.38,67,1,9.17
374,Gofitskoye,45.08,34.49,92,88,13.85
375,Pinega,64.7,30.58,92,88,5.79
376,Sendafa,9.15,27.16,69,0,2.71
377,Neryungri,56.67,-12.31,52,36,13.44
378,Naze,28.37,71.6,78,75,20.8
379,Peresichna,50.02,30.2,92,0,6.71
380,Paamiut,61.99,30.44,100,92,10.65
381,Carnarvon,-24.87,72.79,88,0,12.95
382,Ola,59.58,-2.21,91,20,2.24
383,Ancud,-41.87,43.58,85,0,4.34
384,Khonsa,27.02,71.75,83,0,2.71
385,Ferme-Neuve,46.7,11.36,100,20,2.77
386,Mount Gambier,-37.83,75.8,63,0,3.83
387,Luwuk,-0.95,86.29,82,48,0.98
388,Moron,-34.65,60.19,71,0,10.29
389,Zhuanghe,39.7,24.95,100,0,17.58
390,Horta (Angústias),38.53,67.84,98,100,28.99
391,Tuy Hoa,13.08,80.21,96,12,5.79
392,Prado,-17.34,77.78,95,48,14.12
393,Gunjur,13.2,81.2,92,56,10.6
394,Barcelos,41.54,40.84,100,0,3.36
395,Samarai,-10.62,78.37,100,92,8.25
396,Dubbo,-32.25,66.2,82,75,11.41
397,Kamaishi,39.27,50.0,71,75,3.36
398,Darhan,49.49,12.89,49,0,3.33
399,Belyy Yar,53.6,8.6,78,76,3.0
400,Lappeenranta,61.05,37.4,86,90,9.17
401,Jalingo,8.88,71.21,49,0,5.5
402,Agustin Codazzi,10.03,75.2,94,75,5.82
403,Changping,40.22,33.8,19,0,8.95
404,Tasiilaq,65.61,19.4,57,0,2.24
405,Hambantota,6.12,81.88,100,0,3.49
406,Pitanga,-24.76,63.83,99,92,4.05
407,De Aar,-30.65,38.18,47,0,4.05
408,Saint-Ambroise,48.55,15.64,72,90,17.22
409,Bull Savanna,17.89,73.78,83,32,6.02
410,Pitimbu,-7.47,77.0,78,20,4.7
411,Jacareacanga,-6.22,77.02,90,24,2.26
412,Gawler,-34.6,66.2,68,40,12.75
413,Dargaville,-35.93,61.27,77,92,25.93
414,Saint-Pierre,-21.34,73.4,88,0,4.7
415,Sakaiminato,35.55,51.8,66,90,12.75
416,General Pico,-35.66,50.11,42,0,6.91
417,Puerto Escondido,15.85,78.8,88,5,8.59
418,Davidson,35.5,40.66,73,1,5.35
419,Shuangcheng,45.35,10.4,66,0,11.18
420,Tuyen Quang,21.82,69.91,100,92,4.83
421,Pevek,69.7,10.51,93,64,8.75
422,Mount Isa,-20.73,95.0,14,0,12.75
423,Stepankovice,49.96,39.2,93,90,4.7
424,Khandbari,27.37,37.69,61,0,1.59
425,Turiacu,-1.66,77.78,79,12,6.58
426,Teriberka,69.16,13.7,100,20,2.37
427,Sao Jose dos Campos,-23.18,66.81,88,40,3.33
428,Graham,47.05,41.99,93,75,3.04
429,Cabo San Lucas,22.89,76.06,73,5,6.62
430,Paracatu,-17.22,70.4,81,32,13.29
431,Tarakan,3.3,77.69,100,76,2.82
432,Kaseda,31.42,59.0,72,75,10.29
433,Kushima,31.46,59.0,93,75,2.24
434,La Asuncion,11.03,80.6,83,20,13.62
435,Chokurdakh,70.63,-7.54,62,32,7.25
436,Nehe,48.48,1.28,70,12,5.5
437,Rocha,-34.48,59.69,92,76,9.31
438,Guerrero Negro,27.98,59.92,100,12,6.8
439,Roebourne,-20.78,85.48,45,0,9.08
440,Mittweida,50.98,30.2,100,75,5.82
441,Vikhorevka,56.12,17.6,78,40,4.47
442,Plettenberg Bay,-34.05,59.92,100,48,3.78
443,Lodwar,3.12,71.53,59,8,6.24
444,Saint Simons,31.14,57.11,87,1,5.82
445,Duluth,46.78,32.9,100,90,4.7
446,Luanda,-8.84,75.2,83,75,4.7
447,Det Udom,14.91,82.4,88,40,4.7
448,Agua Verde,22.9,78.8,88,5,12.17
449,Mombetsu,44.35,41.0,75,75,8.05
450,Thunder Bay,48.4,32.0,95,90,2.24
451,Damaia,38.75,48.15,71,0,3.36
452,El Alto,-4.27,64.51,99,8,7.81
453,Bhaisa,19.1,76.84,62,0,4.56
454,Boulder,40.02,38.82,86,90,12.88
455,Ust-Kamchatsk Staryy,56.23,34.09,83,76,18.03
456,Ileza,61.05,32.83,91,88,14.63
457,Tura,25.52,74.0,83,0,3.27
458,Mapiripan,2.89,76.39,91,68,2.71
459,Umarizal,-5.99,79.94,55,88,9.75
460,Daru,-9.08,79.76,100,80,10.04
461,Santa Teresa,10.23,78.8,94,20,1.88
462,Parana,-31.73,62.89,42,12,16.87
463,Mandalgovi,45.76,7.81,65,0,7.29
464,Russkaya Polyana,49.42,33.91,94,92,5.84
465,Sitka,57.05,35.17,69,75,10.29
466,Copiapo,-27.37,57.2,82,56,4.7
467,Muli,2.92,83.0,100,68,7.29
468,Kaeo,-35.1,55.64,94,92,26.19
469,Harindanga,22.04,73.4,94,75,3.36
470,Zhigalovo,54.81,6.19,76,76,2.77
471,Manokwari,-0.87,83.18,100,0,4.27
472,Lillooet,50.69,42.8,60,90,13.87
473,Bormio,46.47,25.59,92,0,2.24
474,Caraballeda,10.61,78.8,94,20,6.06
475,Mugur-Aksy,50.35,-14.02,49,0,2.21
476,Nevelsk,46.67,24.8,92,75,17.9
477,Todos Santos,23.45,76.12,69,5,11.95
478,Verkh-Usugli,52.7,-5.88,39,0,2.82
479,Katsuura,35.13,60.8,55,90,16.11
480,Bayji,34.93,43.94,71,8,2.89
481,Paysandu,-32.32,62.62,50,0,16.42
482,Karakol,42.49,-7.59,71,0,1.59
483,Amethi,26.15,70.31,84,0,4.5
484,Newport,51.59,44.67,81,90,8.05
485,Hobyo,5.35,76.93,84,0,14.63
486,Balclutha,-46.23,62.53,86,0,4.9
487,Guane,22.2,72.43,84,0,6.73
488,Mporokoso,-9.37,74.77,34,80,9.82
489,Hithadhoo,-0.6,81.16,100,36,6.35
490,Leningradskiy,69.38,12.04,100,44,9.53
491,Honiara,-9.43,87.8,70,40,9.17
492,Ugoofaaru,5.67,82.78,100,12,6.29
493,Malangali,-8.57,59.51,80,0,5.12
494,Morant Bay,17.88,82.4,78,40,9.17
495,Boende,-0.22,69.86,100,92,2.48
496,Sao Felix do Xingu,-6.64,74.54,95,80,2.21
497,Elk City,35.41,72.59,21,1,10.29
498,Iqaluit,63.75,1.4,54,5,6.93
499,Pitiquito,30.7,61.36,68,0,3.56
